gene	gene_name
ENSG00000066583.12	ISOC1
ENSG00000067082.15	KLF6
ENSG00000067445.20	TRO
ENSG00000070444.15	MNT
ENSG00000070718.12	AP3M2
ENSG00000068697.7	LAPTM4A
ENSG00000069206.15	ADAM7
ENSG00000070669.17	ASNS
ENSG00000072135.13	PTPN18
ENSG00000069696.6	DRD4
ENSG00000070031.4	SCT
ENSG00000072210.18	ALDH3A2
ENSG00000072786.13	STK10
ENSG00000073331.18	ALPK1
ENSG00000073861.3	TBX21
ENSG00000074071.14	MRPS34
ENSG00000074410.14	CA12
ENSG00000137764.20	MAP2K5
ENSG00000078237.7	TIGAR
ENSG00000078579.9	FGF20
ENSG00000003987.14	MTMR7
ENSG00000080618.16	CPB2
ENSG00000065809.13	FAM107B
ENSG00000065883.16	CDK13
ENSG00000064201.15	TSPAN32
ENSG00000064763.11	FAR2
ENSG00000065308.5	TRAM2
ENSG00000066405.13	CLDN18
ENSG00000065371.17	ROPN1
ENSG00000065518.8	NDUFB4
ENSG00000068097.14	HEATR6
ENSG00000068912.14	ERLEC1
ENSG00000112782.17	CLIC5
ENSG00000075568.17	TMEM131
ENSG00000172995.16	ARPP21
ENSG00000007129.18	CEACAM21
ENSG00000072954.7	TMEM38A
ENSG00000073008.15	PVR
ENSG00000159885.14	ZNF222
ENSG00000170848.15	PSG6
ENSG00000075089.9	ACTR6
ENSG00000075415.12	SLC25A3
ENSG00000012504.15	NR1H4
ENSG00000078098.14	FAP
ENSG00000077150.20	NFKB2
ENSG00000030304.13	MUSK
ENSG00000064218.5	DMRT3
ENSG00000079156.17	OSBPL6
ENSG00000064205.10	CCN5
ENSG00000064601.18	CTSA
ENSG00000134461.16	ANKRD16
ENSG00000154252.11	GAL3ST2
ENSG00000065060.17	UHRF1BP1
ENSG00000081087.15	OSTM1
ENSG00000081148.12	IMPG2
ENSG00000072110.13	ACTN1
ENSG00000249437.7	NAIP
ENSG00000081791.9	DELE1
ENSG00000081800.9	SLC13A1
ENSG00000081818.3	PCDHB4
ENSG00000112852.6	PCDHB2
ENSG00000081870.11	HSPB11
ENSG00000082146.13	STRADB
ENSG00000082269.16	FAM135A
ENSG00000082458.12	DLG3
ENSG00000082684.15	SEMA5B
ENSG00000065609.14	SNAP91
ENSG00000083444.17	PLOD1
ENSG00000083544.14	TDRD3
ENSG00000083720.13	OXCT1
ENSG00000083812.12	ZNF324
ENSG00000083817.9	ZNF416
ENSG00000083845.9	RPS5
ENSG00000084444.14	FAM234B
ENSG00000085514.16	PILRA
ENSG00000085721.12	RRN3
ENSG00000166391.15	MOGAT2
ENSG00000085872.15	CHERP
ENSG00000167580.7	AQP2
ENSG00000086189.10	DIMT1
ENSG00000086232.13	EIF2AK1
ENSG00000086288.11	NME8
ENSG00000086289.12	EPDR1
ENSG00000086504.16	MRPL28
ENSG00000086506.3	HBQ1
ENSG00000086548.9	CEACAM6
ENSG00000086589.12	RBM22
ENSG00000086696.11	HSD17B2
ENSG00000078018.19	MAP2
ENSG00000086827.9	ZW10
ENSG00000132470.14	ITGB4
ENSG00000087074.8	PPP1R15A
ENSG00000087077.14	TRIP6
ENSG00000073670.14	ADAM11
ENSG00000005893.15	LAMP2
ENSG00000197208.6	SLC22A4
ENSG00000087237.12	CETP
ENSG00000087250.8	MT3
ENSG00000087494.15	PTHLH
ENSG00000087510.7	TFAP2C
ENSG00000088002.11	SULT2B1
ENSG00000131037.15	EPS8L1
ENSG00000182389.19	CACNB4
ENSG00000197183.14	NOL4L
ENSG00000088305.18	DNMT3B
ENSG00000088320.4	REM1
ENSG00000088356.6	PDRG1
ENSG00000088367.22	EPB41L1
ENSG00000088808.17	PPP1R13B
ENSG00000166948.9	TGM6
ENSG00000188559.15	RALGAPA2
ENSG00000089009.15	AC004086.1
ENSG00000089048.14	ESF1
ENSG00000089060.11	SLC8B1
ENSG00000089063.15	TMEM230
ENSG00000089127.13	AC004551.1
ENSG00000089163.4	SIRT4
ENSG00000089195.15	TRMT6
ENSG00000249115.9	HAUS5
ENSG00000010256.11	UQCRC1
ENSG00000089639.11	GMIP
ENSG00000089692.9	LAG3
ENSG00000089693.10	MLF2
ENSG00000089723.10	OTUB2
ENSG00000090006.17	LTBP4
ENSG00000090447.12	TFAP4
ENSG00000090470.15	PDCD7
ENSG00000090487.11	SPG21
ENSG00000090539.15	CHRD
ENSG00000090554.13	FLT3LG
ENSG00000090581.10	GNPTG
ENSG00000090615.15	GOLGA3
ENSG00000090659.18	CD209
ENSG00000090776.6	EFNB1
ENSG00000090863.11	GLG1
ENSG00000090924.15	PLEKHG2
ENSG00000090932.10	DLL3
ENSG00000090971.5	NAT14
ENSG00000157426.14	AASDH
ENSG00000091128.13	LAMB4
ENSG00000091140.14	DLD
ENSG00000091262.15	ABCC6
ENSG00000091317.8	CMTM6
ENSG00000091583.11	APOH
ENSG00000091640.8	SPAG7
ENSG00000091831.23	ESR1
ENSG00000091844.8	RGS17
ENSG00000091947.10	TMEM101
ENSG00000091986.15	CCDC80
ENSG00000092009.10	CMA1
ENSG00000092010.15	PSME1
ENSG00000092036.18	HAUS4
ENSG00000092067.5	CEBPE
ENSG00000092094.11	OSGEP
ENSG00000092096.16	SLC22A17
ENSG00000092140.16	G2E3
ENSG00000092295.12	TGM1
ENSG00000092607.15	TBX15
ENSG00000092850.12	TEKT2
ENSG00000092929.11	UNC13D
ENSG00000093010.13	COMT
ENSG00000093217.10	XYLB
ENSG00000094661.3	OR1I1
ENSG00000196344.11	ADH7
ENSG00000187758.8	ADH1A
ENSG00000108244.16	KRT23
ENSG00000094804.12	CDC6
ENSG00000094914.13	AAAS
ENSG00000094916.16	CBX5
ENSG00000076321.11	KLHL20
ENSG00000094963.14	FMO2
ENSG00000095059.16	DHPS
ENSG00000167964.12	RAB26
ENSG00000119314.15	PTBP3
ENSG00000095261.14	PSMD5
ENSG00000095380.11	NANS
ENSG00000095539.15	SEMA4G
ENSG00000095917.14	TPSD1
ENSG00000174156.15	GSTA3
ENSG00000156711.17	MAPK13
ENSG00000096092.6	TMEM14A
ENSG00000096150.9	RPS18
ENSG00000236011.6	GPANK1
ENSG00000204463.12	BAG6
ENSG00000096171.14	VARS
ENSG00000204314.12	PRRT1
ENSG00000204482.10	LST1
ENSG00000096654.15	ZNF184
ENSG00000035403.17	VCL
ENSG00000096717.12	SIRT1
ENSG00000069702.11	TGFBR3
ENSG00000099203.7	TMED1
ENSG00000099219.14	ERMP1
ENSG00000099326.8	MZF1
ENSG00000099330.9	OCEL1
ENSG00000099341.11	PSMD8
ENSG00000099365.11	STX1B
ENSG00000099385.11	BCL7C
ENSG00000099617.4	EFNA2
ENSG00000099624.8	ATP5F1D
ENSG00000099625.13	CBARP
ENSG00000099715.14	PCDH11Y
ENSG00000099721.14	AMELY
ENSG00000070388.11	FGF22
ENSG00000095932.6	SMIM24
ENSG00000099769.5	IGFALS
ENSG00000099785.10	MARCH2
ENSG00000099795.7	NDUFB7
ENSG00000099797.15	TECR
ENSG00000099800.8	TIMM13
ENSG00000099804.9	CDC34
ENSG00000099812.9	MISP
ENSG00000099817.12	POLR2E
ENSG00000099860.9	GADD45B
ENSG00000099866.15	MADCAM1
ENSG00000188130.14	MAPK12
ENSG00000099937.11	SERPIND1
ENSG00000099940.12	SNAP29
ENSG00000184436.11	THAP7
ENSG00000099953.10	MMP11
ENSG00000240972.2	MIF
ENSG00000099974.8	DDTL
ENSG00000099985.4	OSM
ENSG00000099992.15	TBC1D10A
ENSG00000099995.19	SF3A1
ENSG00000184979.9	USP18
ENSG00000099999.14	RNF215
ENSG00000100012.11	SEC14L3
ENSG00000100028.12	SNRPD3
ENSG00000100030.14	MAPK1
ENSG00000185339.8	TCN2
ENSG00000100053.10	CRYBB3
ENSG00000133422.13	MORC2
ENSG00000100075.10	SLC25A1
ENSG00000100078.4	PLA2G3
ENSG00000100079.7	LGALS2
ENSG00000241360.2	PDXP
ENSG00000128203.7	ASPHD2
ENSG00000100097.12	LGALS1
ENSG00000100100.12	PIK3IP1
ENSG00000100104.13	SRRD
ENSG00000100105.18	PATZ1
ENSG00000100124.15	ANKRD54
ENSG00000100138.15	SNU13
ENSG00000100139.13	MICALL1
ENSG00000100162.15	CENPM
ENSG00000100196.11	KDELR3
ENSG00000100201.21	DDX17
ENSG00000100206.10	DMC1
ENSG00000100209.10	HSCB
ENSG00000100211.10	CBY1
ENSG00000100216.6	TOMM22
ENSG00000100218.11	RSPH14
ENSG00000100219.16	XBP1
ENSG00000100220.12	RTCB
ENSG00000100221.10	JOSD1
ENSG00000100226.16	GTPBP1
ENSG00000100239.16	PPP6R2
ENSG00000100246.13	DNAL4
ENSG00000100249.4	C22orf31
ENSG00000100253.13	MIOX
ENSG00000100258.18	LMF2
ENSG00000183741.11	CBX6
ENSG00000100263.14	RHBDD3
ENSG00000243811.10	APOBEC3D
ENSG00000100276.10	RASL10A
ENSG00000100281.14	HMGXB4
ENSG00000100290.3	BIK
ENSG00000100292.17	HMOX1
ENSG00000184117.11	NIPSNAP1
ENSG00000100297.16	MCM5
ENSG00000100299.18	ARSA
ENSG00000100302.7	RASD2
ENSG00000100304.13	TTLL12
ENSG00000100307.13	CBX7
ENSG00000100312.10	ACR
ENSG00000100314.4	CABP7
ENSG00000100316.16	RPL3
ENSG00000100321.15	SYNGR1
ENSG00000100324.14	TAB1
ENSG00000100341.11	PNPLA5
ENSG00000100344.10	PNPLA3
ENSG00000100345.21	MYH9
ENSG00000100348.10	TXN2
ENSG00000100350.14	FOXRED2
ENSG00000100353.18	EIF3D
ENSG00000239900.12	ADSL
ENSG00000100362.13	PVALB
ENSG00000100373.10	UPK3A
ENSG00000100376.12	FAM118A
ENSG00000100380.14	ST13
ENSG00000100385.14	IL2RB
ENSG00000100387.8	RBX1
ENSG00000100395.15	L3MBTL2
ENSG00000100399.16	CHADL
ENSG00000100410.8	PHF5A
ENSG00000100412.16	ACO2
ENSG00000100417.12	PMM1
ENSG00000100422.14	CERK
ENSG00000100425.18	BRD1
ENSG00000100426.7	ZBED4
ENSG00000100429.18	HDAC10
ENSG00000129465.16	RIPK3
ENSG00000090060.18	PAPOLA
ENSG00000080824.18	HSP90AA1
ENSG00000087303.18	NID2
ENSG00000075413.18	MARK3
ENSG00000023608.5	SNAPC1
ENSG00000092201.10	SUPT16H
ENSG00000100439.10	ABHD4
ENSG00000100442.11	FKBP3
ENSG00000100448.4	CTSG
ENSG00000100450.13	GZMH
ENSG00000100453.13	GZMB
ENSG00000100462.16	PRMT5
ENSG00000100473.18	COCH
